"","condition","ID","block","Pr_corr_sub"
"2305",4,"101",5,0.851851851851852
"2306",4,"101",6,0.703703703703704
"2307",4,"101",7,0.666666666666667
"2308",4,"101",8,0.703703703703704
"2309",4,"101",9,0.666666666666667
"2310",4,"101",10,0.703703703703704
"2311",4,"105",1,0.740740740740741
"2312",4,"105",2,0.740740740740741
"2313",4,"105",3,0.777777777777778
"2314",4,"105",4,0.814814814814815
"2315",4,"105",5,0.777777777777778
"2316",4,"105",6,0.666666666666667
"2317",4,"105",7,0.740740740740741
"2318",4,"105",8,0.703703703703704
"2319",4,"105",9,0.851851851851852
"2320",4,"105",10,0.851851851851852
"2321",4,"109",1,0.444444444444444
"2322",4,"109",2,0.407407407407407
"2323",4,"109",3,0.703703703703704
"2324",4,"109",4,0.62962962962963
"2325",4,"109",5,0.740740740740741
"2326",4,"109",6,0.666666666666667
"2327",4,"109",7,0.925925925925926
"2328",4,"109",8,0.888888888888889
"2329",4,"109",9,0.851851851851852
"2330",4,"109",10,0.814814814814815
"2331",4,"113",1,0.62962962962963
"2332",4,"113",2,0.888888888888889
"2333",4,"113",3,0.777777777777778
"2334",4,"113",4,0.888888888888889
"2335",4,"113",5,0.777777777777778
"2336",4,"113",6,0.814814814814815
"2337",4,"113",7,0.740740740740741
"2338",4,"113",8,0.851851851851852
"2339",4,"113",9,0.814814814814815
"2340",4,"113",10,0.888888888888889
"2341",4,"117",1,0.296296296296296
"2342",4,"117",2,0.518518518518518
"2343",4,"117",3,0.666666666666667
"2344",4,"117",4,0.62962962962963
"2345",4,"117",5,0.62962962962963
"2346",4,"117",6,0.481481481481481
"2347",4,"117",7,0.62962962962963
"2348",4,"117",8,0.444444444444444
"2349",4,"117",9,0.37037037037037
"2350",4,"117",10,0.333333333333333
"2351",4,"12",1,0.555555555555556
"2352",4,"12",2,0.703703703703704
"2353",4,"12",3,0.481481481481481
"2354",4,"12",4,0.407407407407407
"2355",4,"12",5,0.518518518518518
"2356",4,"12",6,0.407407407407407
"2357",4,"12",7,0.666666666666667
"2358",4,"12",8,0.444444444444444
"2359",4,"12",9,0.481481481481481
"2360",4,"12",10,0.555555555555556
"2361",4,"121",1,0.518518518518518
"2362",4,"121",2,0.37037037037037
"2363",4,"121",3,0.518518518518518
"2364",4,"121",4,0.555555555555556
"2365",4,"121",5,0.703703703703704
"2366",4,"121",6,0.62962962962963
"2367",4,"121",7,0.62962962962963
"2368",4,"121",8,0.62962962962963
"2369",4,"121",9,0.666666666666667
"2370",4,"121",10,0.555555555555556
"2371",4,"16",1,0.37037037037037
"2372",4,"16",2,0.444444444444444
"2373",4,"16",3,0.185185185185185
"2374",4,"16",4,0.407407407407407
"2375",4,"16",5,0.407407407407407
"2376",4,"16",6,0.555555555555556
"2377",4,"16",7,0.814814814814815
"2378",4,"16",8,0.703703703703704
"2379",4,"16",9,0.777777777777778
"2380",4,"16",10,0.444444444444444
"2381",4,"20",1,0.333333333333333
"2382",4,"20",2,0.185185185185185
"2383",4,"20",3,0.37037037037037
"2384",4,"20",4,0.296296296296296
"2385",4,"20",5,0.407407407407407
"2386",4,"20",6,0.444444444444444
"2387",4,"20",7,0.333333333333333
"2388",4,"20",8,0.666666666666667
"2389",4,"20",9,0.592592592592593
"2390",4,"20",10,0.518518518518518
"2391",4,"204",1,0.703703703703704
"2392",4,"204",2,0.518518518518518
"2393",4,"204",3,0.814814814814815
"2394",4,"204",4,0.592592592592593
"2395",4,"204",5,0.740740740740741
"2396",4,"204",6,1
"2397",4,"204",7,0.814814814814815
"2398",4,"204",8,0.740740740740741
"2399",4,"204",9,0.777777777777778
"2400",4,"204",10,0.777777777777778
"2401",4,"208",1,0.444444444444444
"2402",4,"208",2,0.444444444444444
"2403",4,"208",3,0.481481481481481
"2404",4,"208",4,0.296296296296296
"2405",4,"208",5,0.62962962962963
"2406",4,"208",6,0.592592592592593
"2407",4,"208",7,0.592592592592593
"2408",4,"208",8,0.592592592592593
"2409",4,"208",9,0.62962962962963
"2410",4,"208",10,0.777777777777778
"2411",4,"212",1,0.666666666666667
"2412",4,"212",2,0.518518518518518
"2413",4,"212",3,0.703703703703704
"2414",4,"212",4,0.62962962962963
"2415",4,"212",5,0.703703703703704
"2416",4,"212",6,0.666666666666667
"2417",4,"212",7,0.814814814814815
"2418",4,"212",8,0.703703703703704
"2419",4,"212",9,0.703703703703704
"2420",4,"212",10,0.851851851851852
"2421",4,"216",1,0.814814814814815
"2422",4,"216",2,0.925925925925926
"2423",4,"216",3,0.925925925925926
"2424",4,"216",4,1
"2425",4,"216",5,0.888888888888889
"2426",4,"216",6,0.851851851851852
"2427",4,"216",7,0.814814814814815
"2428",4,"216",8,0.962962962962963
"2429",4,"216",9,0.777777777777778
"2430",4,"216",10,0.851851851851852
"2431",4,"220",1,0.222222222222222
"2432",4,"220",2,0.37037037037037
"2433",4,"220",3,0.555555555555556
"2434",4,"220",4,0.62962962962963
"2435",4,"220",5,0.333333333333333
"2436",4,"220",6,0.259259259259259
"2437",4,"220",7,0.407407407407407
"2438",4,"220",8,0.222222222222222
"2439",4,"220",9,0.62962962962963
"2440",4,"220",10,0.703703703703704
"2441",4,"224",1,0.407407407407407
"2442",4,"224",2,0.555555555555556
"2443",4,"224",3,0.62962962962963
"2444",4,"224",4,0.444444444444444
"2445",4,"224",5,0.481481481481481
"2446",4,"224",6,0.333333333333333
"2447",4,"224",7,0.666666666666667
"2448",4,"224",8,0.814814814814815
"2449",4,"224",9,0.777777777777778
"2450",4,"224",10,0.851851851851852
"2451",4,"228",1,0.148148148148148
"2452",4,"228",2,0.444444444444444
"2453",4,"228",3,0.592592592592593
"2454",4,"228",4,0.740740740740741
"2455",4,"228",5,0.777777777777778
"2456",4,"228",6,0.851851851851852
"2457",4,"228",7,0.851851851851852
"2458",4,"228",8,0.814814814814815
"2459",4,"228",9,0.962962962962963
"2460",4,"228",10,0.962962962962963
"2461",4,"232",1,0.444444444444444
"2462",4,"232",2,0.148148148148148
"2463",4,"232",3,0.333333333333333
"2464",4,"232",4,0.37037037037037
"2465",4,"232",5,0.444444444444444
"2466",4,"232",6,0.296296296296296
"2467",4,"232",7,0.37037037037037
"2468",4,"232",8,0.333333333333333
"2469",4,"232",9,0.518518518518518
"2470",4,"232",10,0.37037037037037
"2471",4,"236",1,0.481481481481481
"2472",4,"236",2,0.518518518518518
"2473",4,"236",3,0.62962962962963
"2474",4,"236",4,0.740740740740741
"2475",4,"236",5,0.814814814814815
"2476",4,"236",6,0.777777777777778
"2477",4,"236",7,0.703703703703704
"2478",4,"236",8,0.814814814814815
"2479",4,"236",9,0.925925925925926
"2480",4,"236",10,0.851851851851852
"2481",4,"24",1,0.555555555555556
"2482",4,"24",2,0.481481481481481
"2483",4,"24",3,0.481481481481481
"2484",4,"24",4,0.518518518518518
"2485",4,"24",5,0.481481481481481
"2486",4,"24",6,0.592592592592593
"2487",4,"24",7,0.518518518518518
"2488",4,"24",8,0.518518518518518
"2489",4,"24",9,0.481481481481481
"2490",4,"24",10,0.62962962962963
"2491",4,"240",1,0.666666666666667
"2492",4,"240",2,0.777777777777778
"2493",4,"240",3,0.703703703703704
